Año,LluviaInvierno,TemperaturaMediaVerano,LluviaCosecha,Edad,Precio
1952,600,17.1167,160,31,7.495
1953,690,16.7333,80,30,8.0393
1955,502,17.15,130,28,7.6858
1957,420,16.1333,110,26,6.9845
1958,582,16.4167,187,25,6.7772
1959,485,17.4833,187,24,8.0757
1960,763,16.4167,290,23,6.5188
1961,830,17.3333,38,22,8.4937
1962,697,16.3,52,21,7.388
1963,608,15.7167,155,20,6.7127
1964,402,17.2667,96,19,7.3094
1965,602,15.3667,267,18,6.2518
1966,819,16.5333,86,17,7.7443
1967,714,16.2333,118,16,6.8398
1968,610,16.2,292,15,6.2435
1969,575,16.55,244,14,6.3459
1970,622,16.6667,89,13,7.5883
1971,551,16.7667,112,12,7.1934
1972,536,14.9833,158,11,6.2049
1973,376,17.0667,123,10,6.6367
1974,574,16.3,184,9,6.2941
1975,572,16.95,171,8,7.292
1976,418,17.65,247,7,7.1211
1977,821,15.5833,87,6,6.2587
1978,763,15.8167,51,5,7.186
1979,717,16.1667,122,4,6.9541
1980,578,16.0000,74,3,6.4979
